전략,기간,월수익률(%),성과,보유종목수
CONSERVATIVE,2023-02,1.46,상승,3
CONSERVATIVE,2023-03,1.78,상승,3
CONSERVATIVE,2023-04,0.68,상승,4
CONSERVATIVE,2023-05,-0.61,하락,4
CONSERVATIVE,2023-06,0.39,상승,4
CONSERVATIVE,2023-07,0.49,상승,4
CONSERVATIVE,2023-08,0.04,상승,4
CONSERVATIVE,2023-09,-3.5,급락,4
CONSERVATIVE,2023-10,-4.98,급락,4
CONSERVATIVE,2023-11,5.53,강세,4
CONSERVATIVE,2023-12,4.28,강세,4
AGGRESSIVE,2023-02,7.23,강세,4
AGGRESSIVE,2023-03,7.69,강세,4
AGGRESSIVE,2023-04,-3.18,급락,4
AGGRESSIVE,2023-05,8.99,강세,4
AGGRESSIVE,2023-06,4.75,강세,4
AGGRESSIVE,2023-07,9.32,강세,4
AGGRESSIVE,2023-08,-3.36,급락,4
AGGRESSIVE,2023-09,-5.93,급락,4
AGGRESSIVE,2023-10,-1.76,하락,4
AGGRESSIVE,2023-11,5.85,강세,4
AGGRESSIVE,2023-12,1.41,상승,4
NEUTRAL,2023-02,0.54,상승,3
NEUTRAL,2023-03,5.42,강세,3
NEUTRAL,2023-04,-1.04,하락,4
NEUTRAL,2023-05,-0.94,하락,4
NEUTRAL,2023-06,1.56,상승,4
NEUTRAL,2023-07,2.7,강세,4
NEUTRAL,2023-08,-1.82,하락,4
NEUTRAL,2023-09,-4.75,급락,4
NEUTRAL,2023-10,-5.4,급락,4
NEUTRAL,2023-11,6.46,강세,4
NEUTRAL,2023-12,3.65,강세,4
